PlantNumber,Species,Treatment,Time,Weight,Set
1,MP,Protein,0,0.0237,1
1,MP,TCA,0,0.0318,1
1,MP,Protein,24,0.0173,1
1,MP,TCA,24,0.0337,1
2,MP,Protein,0,0.0223,1
2,MP,TCA,0,0.0159,1
2,MP,Protein,24,0.0253,1
2,MP,TCA,24,0.0294,1
3,MP,Protein,0,0.0193,1
3,MP,TCA,0,0.0232,1
3,MP,Protein,24,0.022,1
3,MP,TCA,24,0.0266,1
4,MP,Protein,0,0.0195,1
4,MP,TCA,0,0.0124,1
4,MP,Protein,24,0.0172,1
4,MP,TCA,24,0.0103,1
5,MP,Protein,0,0.0297,1
5,MP,TCA,0,0.0245,1
5,MP,Protein,24,0.0174,1
5,MP,TCA,24,0.0218,1
1,MT,Protein,0,0.0252,1
1,MT,TCA,0,0.027,1
1,MT,Protein,24,0.0217,1
1,MT,TCA,24,0.017,1
2,MT,Protein,0,0.0335,1
2,MT,TCA,0,0.0269,1
2,MT,Protein,24,0.0248,1
2,MT,TCA,24,0.0153,1
3,MT,Protein,0,0.0195,1
3,MT,TCA,0,0.0261,1
3,MT,Protein,24,0.0185,1
3,MT,TCA,24,0.0367,1
4,MT,Protein,0,0.0353,1
4,MT,TCA,0,0.041,1
4,MT,Protein,24,0.015,1
4,MT,TCA,24,0.0214,1
5,MT,Protein,0,0.0197,1
5,MT,TCA,0,0.007,1
5,MT,Protein,24,0.0259,1
5,MT,TCA,24,0.0206,1
1,Tomato,Protein,0,1.1399,1
1,Tomato,TCA,0,1.1009,1
1,Tomato,Protein,24,0.0202,1
1,Tomato,TCA,24,0.0491,1
2,Tomato,Protein,0,1.1164,1
2,Tomato,TCA,0,1.1067,1
2,Tomato,Protein,24,0.0473,1
2,Tomato,TCA,24,0.0603,1
3,Tomato,Protein,0,1.1207,1
3,Tomato,TCA,0,1.1028,1
3,Tomato,Protein,24,0.0176,1
3,Tomato,TCA,24,0.0209,1
4,Tomato,Protein,0,1.107,1
4,Tomato,TCA,0,1.1167,1
4,Tomato,Protein,24,0.0751,1
4,Tomato,TCA,24,0.0642,1
5,Tomato,Protein,0,1.1269,1
5,Tomato,TCA,0,1.129,1
5,Tomato,Protein,24,0.0715,1
5,Tomato,TCA,24,0.059,1
1,MP,Protein,0, ,2
1,MP,TCA,0,-0.0017,2
1,MP,Protein,24,0.0237,2
1,MP,TCA,24,0.0142,2
2,MP,Protein,0,0.0107,2
2,MP,TCA,0,0.007,2
2,MP,Protein,24,0.0179,2
2,MP,TCA,24,0.0185,2
3,MP,Protein,0,0.0145,2
3,MP,TCA,0,0.014,2
3,MP,Protein,24,0.0362,2
3,MP,TCA,24,0.0285,2
4,MP,Protein,0,0.0065,2
4,MP,TCA,0,0.0108,2
4,MP,Protein,24,0.0238,2
4,MP,TCA,24,0.028,2
5,MP,Protein,0,0.0158,2
5,MP,TCA,0,0.014,2
5,MP,Protein,24,0.0196,2
5,MP,TCA,24,0.0339,2
1,MT,Protein,0,0.0192,2
1,MT,TCA,0,-0.0008,2
1,MT,Protein,24,0.007,2
1,MT,TCA,24,0.0224,2
2,MT,Protein,0,0.036,2
2,MT,TCA,0,0.0127,2
2,MT,Protein,24,0.0374,2
2,MT,TCA,24,0.0213,2
3,MT,Protein,0,0.0138,2
3,MT,TCA,0,0.0189,2
3,MT,Protein,24,0.0239,2
3,MT,TCA,24,0.0212,2
4,MT,Protein,0,0.0187,2
4,MT,TCA,0,0.0064,2
4,MT,Protein,24,0.0279,2
4,MT,TCA,24,0.0286,2
5,MT,Protein,0,0.0132,2
5,MT,TCA,0,0.0209,2
5,MT,Protein,24,0.0271,2
5,MT,TCA,24,0.0283,2
1,Tomato,Protein,0,0.0174,2
1,Tomato,TCA,0,0.0232,2
1,Tomato,Protein,24,0.0458,2
1,Tomato,TCA,24,0.0255,2
2,Tomato,Protein,0,0.026,2
2,Tomato,TCA,0,0.0171,2
2,Tomato,Protein,24,0.0321,2
2,Tomato,TCA,24,0.0702,2
3,Tomato,Protein,0,0.0807,2
3,Tomato,TCA,0,0.0318,2
3,Tomato,Protein,24,0.0497,2
3,Tomato,TCA,24,0.0489,2
4,Tomato,Protein,0,0.0289,2
4,Tomato,TCA,0,0.0311,2
4,Tomato,Protein,24,0.0654,2
4,Tomato,TCA,24,0.0493,2
5,Tomato,Protein,0,0.0366,2
5,Tomato,TCA,0,0.057,2
5,Tomato,Protein,24,0.0239,2
5,Tomato,TCA,24,0.0465,2
