ABS532,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0397,0.04,0.0411,0.0629,0.0628,0.063,0.2105,0.1985,0.201,0.0958,0.0916,0.0921
B,0.4646,0.4669,0.4588,0.0714,0.0707,0.0701,0.1942,0.1923,0.1955,0.1368,0.1185,0.1186
C,0.2676,0.2686,0.2666,0.1388,0.1375,0.142,0.2605,0.2548,0.2557,0.2771,0.276,0.2796
D,0.1764,0.1764,0.1758,0.2957,0.295,0.2949,0.1492,0.1551,0.1457,0.3251,0.3168,0.3187
E,0.202,0.2002,0.2007,0.2048,0.1682,0.1681,0.0741,0.0757,0.0744,0.3516,0.3439,0.3436
F,0.1704,0.169,0.1721,0.1585,0.1617,0.158,0.0893,0.0895,0.0917,0.2478,0.2487,0.2482
G,0.1511,0.1512,0.1518,0.2257,0.2188,0.2233,0.1438,0.1419,0.1648,0.2877,0.2928,0.2908
H,0.128,0.129,0.1307,0.1627,0.1637,0.1633,0.1434,0.1336,0.1331,0.0473,0.0472,0.0473
,,,,,,,,,,,,
ABS600,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0396,0.0382,0.0392,0.0396,0.0396,0.0399,0.0551,0.0444,0.0472,0.0442,0.0413,0.0413
B,0.0419,0.0452,0.0426,0.0393,0.0388,0.0392,0.043,0.0417,0.0409,0.0601,0.0405,0.0425
C,0.0416,0.0416,0.0415,0.0405,0.0402,0.0451,0.041,0.0407,0.0404,0.0453,0.0477,0.0485
D,0.0394,0.0406,0.0399,0.0406,0.0417,0.0409,0.0433,0.0481,0.0406,0.0449,0.0429,0.0432
E,0.0528,0.0524,0.0557,0.0777,0.0461,0.0459,0.0399,0.0426,0.0413,0.041,0.0424,0.0421
F,0.0408,0.0411,0.0404,0.0416,0.0459,0.0422,0.0396,0.0399,0.0428,0.0437,0.0423,0.0416
G,0.0438,0.044,0.0461,0.0643,0.0575,0.0585,0.0466,0.0472,0.0773,0.0523,0.0545,0.054
H,0.053,0.0528,0.0545,0.0441,0.0446,0.0429,0.0451,0.0437,0.0425,0.0467,0.0466,0.0469
