Tomato,Time,Method,StdAbs,StdDev
TM1,Before,Microplate,0.003772261,0.000316304
TM2,Before,Microplate,0.030216171,0.002933223
TM3,Before,Microplate,0.010886053,0.000408903
TM4,Before,Microplate,0.008461307,0.00120295
TM5,Before,Microplate,0.025586417,0.00325363
TM1,Before,Spectrophotometer,0.013159049,NA
TM2,Before,Spectrophotometer,0.381583662,NA
TM3,Before,Spectrophotometer,0.036584278,NA
TM4,Before,Spectrophotometer,0.042457091,NA
TM5,Before,Spectrophotometer,0.110923773,NA
TM1,After,Microplate,0.524752475,0.039293336
TM2,After,Microplate,0.131078224,0.033024312
TM3,After,Microplate,1.125,0.088752837
TM4,After,Microplate,0.688859299,0.028068197
TM5,After,Microplate,0.736130536,0.025801574
TM1,After,Spectrophotometer,3.564356436,NA
TM2,After,Spectrophotometer,0.169133192,NA
TM3,After,Spectrophotometer,8.465909091,NA
TM4,After,Spectrophotometer,2.809587217,NA
TM5,After,Spectrophotometer,8.391608392,NA
