Well,Sample,SampleType,Time,Replicate,Plant,SampLab
A01,Tomato,Experiment,Before,1,1,Tom1 B
A02,Tomato,Experiment,After,1,1,Tom1 A
A03,Tomato,Experiment,Before,1,2,Tom2 B
A04,Tomato,Experiment,After,1,2,Tom2 A
A05,Tomato,Experiment,Before,1,3,Tom3 B
A06,Tomato,Experiment,After,1,3,Tom3 A
A07,Tomato,Experiment,Before,1,4,Tom4 B
A08,Tomato,Experiment,After,1,4,Tom4 A
A09,Tomato,Experiment,Before,1,5,Tom5 B
A10,Tomato,Experiment,After,1,5,Tom5 A
A11,,,,,,
A12,,,,,,
B01,Tomato,Experiment,Before,2,1,Tom1 B
B02,Tomato,Experiment,After,2,1,Tom1 A
B03,Tomato,Experiment,Before,2,2,Tom2 B
B04,Tomato,Experiment,After,2,2,Tom2 A
B05,Tomato,Experiment,Before,2,3,Tom3 B
B06,Tomato,Experiment,After,2,3,Tom3 A
B07,Tomato,Experiment,Before,2,4,Tom4 B
B08,Tomato,Experiment,After,2,4,Tom4 A
B09,Tomato,Experiment,Before,2,5,Tom5 B
B10,Tomato,Experiment,After,2,5,Tom5 A
B11,,,,,,
B12,,,,,,
C01,Tomato,Experiment,Before,3,1,Tom1 B
C02,Tomato,Experiment,After,3,1,Tom1 A
C03,Tomato,Experiment,Before,3,2,Tom2 B
C04,Tomato,Experiment,After,3,2,Tom2 A
C05,Tomato,Experiment,Before,3,3,Tom3 B
C06,Tomato,Experiment,After,3,3,Tom3 A
C07,Tomato,Experiment,Before,3,4,Tom4 B
C08,Tomato,Experiment,After,3,4,Tom4 A
C09,Tomato,Experiment,Before,3,5,Tom5 B
C10,Tomato,Experiment,After,3,5,Tom5 A
C11,,,,,,
C12,,,,,,
D01,Tomato,Control,Before,1,1,Tom1 B
D02,Tomato,Control,After,1,1,Tom1 A
D03,Tomato,Control,Before,1,2,Tom2 B
D04,Tomato,Control,After,1,2,Tom2 A
D05,Tomato,Control,Before,1,3,Tom3 B
D06,Tomato,Control,After,1,3,Tom3 A
D07,Tomato,Control,Before,1,4,Tom4 B
D08,Tomato,Control,After,1,4,Tom4 A
D09,Tomato,Control,Before,1,5,Tom5 B
D10,Tomato,Control,After,1,5,Tom5 A
D11,,,,,,
D12,,,,,,
E01,Tomato,Control,Before,2,1,Tom1 B
E02,Tomato,Control,After,2,1,Tom1 A
E03,Tomato,Control,Before,2,2,Tom2 B
E04,Tomato,Control,After,2,2,Tom2 A
E05,Tomato,Control,Before,2,3,Tom3 B
E06,Tomato,Control,After,2,3,Tom3 A
E07,Tomato,Control,Before,2,4,Tom4 B
E08,Tomato,Control,After,2,4,Tom4 A
E09,Tomato,Control,Before,2,5,Tom5 B
E10,Tomato,Control,After,2,5,Tom5 A
E11,,,,,,
E12,,,,,,
F01,Tomato,Control,Before,3,1,Tom1 B
F02,Tomato,Control,After,3,1,Tom1 A
F03,Tomato,Control,Before,3,2,Tom2 B
F04,Tomato,Control,After,3,2,Tom2 A
F05,Tomato,Control,Before,3,3,Tom3 B
F06,Tomato,Control,After,3,3,Tom3 A
F07,Tomato,Control,Before,3,4,Tom4 B
F08,Tomato,Control,After,3,4,Tom4 A
F09,Tomato,Control,Before,3,5,Tom5 B
F10,Tomato,Control,After,3,5,Tom5 A
F11,,,,,,
F12,,,,,,
G01,,,,,,
G02,,,,,,
G03,,,,,,
G04,,,,,,
G05,,,,,,
G06,,,,,,
G07,,,,,,
G08,,,,,,
G09,,,,,,
G10,,,,,,
G11,,,,,,
G12,,,,,,
H01,,,,,,
H02,,,,,,
H03,,,,,,
H04,,,,,,
H05,,,,,,
H06,,,,,,
H07,,,,,,
H08,,,,,,
H09,,,,,,
H10,,,,,,
H11,,,,,,
H12,,,,,,
