Tomato,Time,Method,StdAbs,StdDev
TM1,Before,Microplate,0.001240647,0.001240647
TM2,Before,Microplate,0.003420259,0.003420259
TM3,Before,Microplate,0.003407135,0.003407135
TM4,Before,Microplate,0.001660775,0.001660775
TM5,Before,Microplate,0.011357381,0.011357381
TM1,After,Microplate,0.122518502,0.122518502
TM2,After,Microplate,0.150988974,0.150988974
TM3,After,Microplate,0.064282435,0.064282435
TM4,After,Microplate,0.016947965,0.016947965
TM5,After,Microplate,0.180979778,0.180979778
TM1,Before,Spectrophotometer,0.037722607,NA
TM2,Before,Spectrophotometer,0.043891078,NA
TM3,Before,Spectrophotometer,0.067814759,NA
TM1,After,Spectrophotometer,0.643564356,NA
TM2,After,Spectrophotometer,2.473572939,NA
TM3,After,Spectrophotometer,9.829545455,NA
