Well,Sample,Time,Replicate
A1,M_trun-1,Before,1
A2,M_trun-1,Before,2
A3,M_trun-1,Before,3
A4,M_trun-1,After,1
A5,M_trun-1,After,2
A6,M_trun-1,After,3
A7,M_trun-2,Before,1
A8,M_trun-2,Before,2
A9,M_trun-2,Before,3
A10,M_trun-2,After,1
A11,M_trun-2,After,2
A12,M_trun-2,After,3
B1,M_trun-3,Before,1
B2,M_trun-3,Before,2
B3,M_trun-3,Before,3
B4,M_trun-3,After,1
B5,M_trun-3,After,2
B6,M_trun-3,After,3
B7,M_trun-4,Before,1
B8,M_trun-4,Before,2
B9,M_trun-4,Before,3
B10,M_trun-4,After,1
B11,M_trun-4,After,2
B12,M_trun-4,After,3
C1,M_trun-5,Before,1
C2,M_trun-5,Before,2
C3,M_trun-5,Before,3
C4,M_trun-5,After,1
C5,M_trun-5,After,2
C6,M_trun-5,After,3
