Well,Sample,SampleType,Time,Replicate,Plant,SampLab
A01,M_trun,Experiment,Before,1,1,MT1 B
A02,M_trun,Experiment,Before,2,1,MT1 B
A03,M_trun,Experiment,Before,3,1,MT1 B
A04,M_trun,Experiment,After,1,1,MT1 A
A05,M_trun,Experiment,After,2,1,MT1 A
A06,M_trun,Experiment,After,3,1,MT1 A
A07,M_trun,Experiment,Before,1,2,MT2 B
A08,M_trun,Experiment,Before,2,2,MT2 B
A09,M_trun,Experiment,Before,3,2,MT2 B
A10,M_trun,Experiment,After,1,2,MT2 A
A11,M_trun,Experiment,After,2,2,MT2 A
A12,M_trun,Experiment,After,3,2,MT2 A
B01,M_trun,Experiment,Before,1,3,MT3 B
B02,M_trun,Experiment,Before,2,3,MT3 B
B03,M_trun,Experiment,Before,3,3,MT3 B
B04,M_trun,Experiment,After,1,3,MT3 A
B05,M_trun,Experiment,After,2,3,MT3 A
B06,M_trun,Experiment,After,3,3,MT3 A
B07,M_trun,Experiment,Before,1,4,MT4 B
B08,M_trun,Experiment,Before,2,4,MT4 B
B09,M_trun,Experiment,Before,3,4,MT4 B
B10,M_trun,Experiment,After,1,4,MT4 A
B11,M_trun,Experiment,After,2,4,MT4 A
B12,M_trun,Experiment,After,3,4,MT4 A
C01,M_trun,Experiment,Before,1,5,MT5 B
C02,M_trun,Experiment,Before,2,5,MT5 B
C03,M_trun,Experiment,Before,3,5,MT5 B
C04,M_trun,Experiment,After,1,5,MT5 A
C05,M_trun,Experiment,After,2,5,MT5 A
C06,M_trun,Experiment,After,3,5,MT5 A
