,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1239,0.1506,0.1405,0.1321,0.1349,0.1516,0.16,0.1559,0.1486,0.1168,0.1337,0.1146
B,0.1595,0.173,0.1453,0.1337,0.1365,0.139,0.1481,0.1561,0.1396,0.1216,0.1271,0.1133
C,0.1505,0.141,0.1425,0.1419,0.1441,0.1338,0.1803,0.1469,0.1414,0.172,0.1566,0.1526
D,0.1522,0.1685,0.1626,0.1247,0.1305,0.1289,0.1561,0.143,0.1326,0.1138,0.1064,0.1136
E,0.1236,0.1296,0.1387,0.1453,0.1434,0.1306,0.1156,0.1195,0.1219,0.1579,0.1586,0.1609
F,0.1336,0.1465,0.146,0.1213,0.1187,0.1401,0.1104,0.1066,0.1017,0.2657,0.1804,0.2663
G,0.1055,0.1131,0.1042,0.2403,0.2226,0.1335,0.1279,0.113,0.1195,0.1278,0.1214,0.1405
H,0.1075,0.0952,0.0973,0.129,0.1033,0.1255,0.1269,0.1042,0.0998,0.0455,0.0525,0.0456
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1239,0.1517,0.1374,0.1342,0.1365,0.154,0.1624,0.1578,0.1509,0.1177,0.1359,0.1153
B,0.1617,0.1757,0.1476,0.1358,0.1383,0.1402,0.1497,0.1583,0.1404,0.1233,0.1271,0.1145
C,0.1566,0.1432,0.1449,0.1438,0.1464,0.1359,0.183,0.1495,0.1433,0.1717,0.157,0.1534
D,0.1545,0.1717,0.1658,0.1267,0.1337,0.1312,0.1586,0.1443,0.1342,0.1155,0.108,0.1157
E,0.1245,0.1312,0.1407,0.1482,0.1462,0.1327,0.1167,0.1219,0.1245,0.1594,0.162,0.1636
F,0.1354,0.1487,0.1482,0.123,0.1203,0.1408,0.1095,0.1086,0.1025,0.2717,0.1803,0.2714
G,0.1051,0.1129,0.104,0.2507,0.2308,0.1364,0.1279,0.1143,0.1202,0.1295,0.1225,0.1433
H,0.1084,0.097,0.0993,0.1295,0.1042,0.1256,0.1266,0.1047,0.0997,0.0441,0.0498,0.0447
