Well,Sample,SampleType,Time,Replicate,Plant,SampLab
A1,Control,Control,,1,,ctrl
A2,Control,Control,,2,,ctrl
A3,Control,Control,,3,,ctrl
A4,Tomato,Experiment,Before,1,1,Tom1 B
A5,Tomato,Experiment,Before,2,1,Tom1 B
A6,Tomato,Experiment,Before,3,1,Tom1 B
A7,Tomato,Experiment,After,1,1,Tom1 A
A8,Tomato,Experiment,After,2,1,Tom1 A
A9,Tomato,Experiment,After,3,1,Tom1 A
A10,Tomato,Experiment,Before,1,2,Tom2 B
A11,Tomato,Experiment,Before,2,2,Tom2 B
A12,Tomato,Experiment,Before,3,2,Tom2 B
B1,Tomato,Experiment,After,1,2,Tom2 A
B2,Tomato,Experiment,After,2,2,Tom2 A
B3,Tomato,Experiment,After,3,2,Tom2 A
B4,Tomato,Experiment,Before,1,3,Tom3 B
B5,Tomato,Experiment,Before,2,3,Tom3 B
B6,Tomato,Experiment,Before,3,3,Tom3 B
B7,Tomato,Experiment,After,1,3,Tom3 A
B8,Tomato,Experiment,After,2,3,Tom3 A
B9,Tomato,Experiment,After,3,3,Tom3 A
B10,Tomato,Experiment,Before,1,4,Tom4 B
B11,Tomato,Experiment,Before,2,4,Tom4 B
B12,Tomato,Experiment,Before,3,4,Tom4 B
C1,Tomato,Experiment,After,1,4,Tom4 A
C2,Tomato,Experiment,After,2,4,Tom4 A
C3,Tomato,Experiment,After,3,4,Tom4 A
C4,Tomato,Experiment,Before,1,5,Tom5 B
C5,Tomato,Experiment,Before,2,5,Tom5 B
C6,Tomato,Experiment,Before,3,5,Tom5 B
C7,Tomato,Experiment,After,1,5,Tom5 A
C8,Tomato,Experiment,After,2,5,Tom5 A
C9,Tomato,Experiment,After,3,5,Tom5 A
C10,M_poly,Experiment,Before,1,1,MP1 B
C11,M_poly,Experiment,Before,2,1,MP1 B
C12,M_poly,Experiment,Before,3,1,MP1 B
D1,M_poly,Experiment,After,1,1,MP1 A
D2,M_poly,Experiment,After,2,1,MP1 A
D3,M_poly,Experiment,After,3,1,MP1 A
D4,M_poly,Experiment,Before,1,2,MP2 B
D5,M_poly,Experiment,Before,2,2,MP2 B
D6,M_poly,Experiment,Before,3,2,MP2 B
D7,M_poly,Experiment,After,1,2,MP2 A
D8,M_poly,Experiment,After,2,2,MP2 A
D9,M_poly,Experiment,After,3,2,MP2 A
D10,M_poly,Experiment,Before,1,3,MP3 B
D11,M_poly,Experiment,Before,2,3,MP3 B
D12,M_poly,Experiment,Before,3,3,MP3 B
E1,M_poly,Experiment,After,1,3,MP3 A
E2,M_poly,Experiment,After,2,3,MP3 A
E3,M_poly,Experiment,After,3,3,MP3 A
E4,M_poly,Experiment,Before,1,4,MP4 B
E5,M_poly,Experiment,Before,2,4,MP4 B
E6,M_poly,Experiment,Before,3,4,MP4 B
E7,M_poly,Experiment,After,1,4,MP4 A
E8,M_poly,Experiment,After,2,4,MP4 A
E9,M_poly,Experiment,After,3,4,MP4 A
E10,M_poly,Experiment,Before,1,5,MP5 B
E11,M_poly,Experiment,Before,2,5,MP5 B
E12,M_poly,Experiment,Before,3,5,MP5 B
F1,M_poly,Experiment,After,1,5,MP5 A
F2,M_poly,Experiment,After,2,5,MP5 A
F3,M_poly,Experiment,After,3,5,MP5 A
F4,M_trun,Experiment,Before,1,1,MT1 B
F5,M_trun,Experiment,Before,2,1,MT1 B
F6,M_trun,Experiment,Before,3,1,MT1 B
F7,M_trun,Experiment,After,1,1,MT1 A
F8,M_trun,Experiment,After,2,1,MT1 A
F9,M_trun,Experiment,After,3,1,MT1 A
F10,M_trun,Experiment,Before,1,2,MT2 B
F11,M_trun,Experiment,Before,2,2,MT2 B
F12,M_trun,Experiment,Before,3,2,MT2 B
G1,M_trun,Experiment,After,1,2,MT2 A
G2,M_trun,Experiment,After,2,2,MT2 A
G3,M_trun,Experiment,After,3,2,MT2 A
G4,M_trun,Experiment,Before,1,3,MT3 B
G5,M_trun,Experiment,Before,2,3,MT3 B
G6,M_trun,Experiment,Before,3,3,MT3 B
G7,M_trun,Experiment,After,1,3,MT3 A
G8,M_trun,Experiment,After,2,3,MT3 A
G9,M_trun,Experiment,After,3,3,MT3 A
G10,M_trun,Experiment,Before,1,4,MT4 B
G11,M_trun,Experiment,Before,2,4,MT4 B
G12,M_trun,Experiment,Before,3,4,MT4 B
H1,M_trun,Experiment,After,1,4,MT4 A
H2,M_trun,Experiment,After,2,4,MT4 A
H3,M_trun,Experiment,After,3,4,MT4 A
H4,M_trun,Experiment,Before,1,5,MT5 B
H5,M_trun,Experiment,Before,2,5,MT5 B
H6,M_trun,Experiment,Before,3,5,MT5 B
H7,M_trun,Experiment,After,1,5,MT5 A
H8,M_trun,Experiment,After,2,5,MT5 A
H9,M_trun,Experiment,After,3,5,MT5 A
H10,,,,,,
H11,,,,,,
H12,,,,,,
